name;sex;Number
Balthazar;M;481
Yann;M;481
Abdoulaye;M;481
Céline;F;480
Lorenzo;M;479
Ernest;M;478
Salma;F;477
Anaëlle;F;476
Ana;F;475
Manel;F;474
Sami;M;471
Thelma;F;470
Nils;M;470
Alex;M;468
Lucile;F;465
Judith;F;464
Adem;M;464
Aurèle;M;460
Louna;F;454
Léandre;M;453
Louison;F;453
Aurore;F;451
Nassim;M;450
Nael;M;448
Pénélope;F;447
Khadija;F;444
Fanta;F;444
Ninon;F;443
Dina;F;440
Ryan;M;440
Ambroise;M;439
Ibrahima;M;439
Jad;M;438
Livia;F;437
Maximilien;M;437
Imane;F;434
Émile;M;433
Youssouf;M;432
Bintou;F;429
Amélie;F;428
Louisa;F;428
Ousmane;M;427
Hélène;F;424
Zacharie;M;423
Kevin;M;423
Mohammed;M;423
Luka;M;423
Mélina;F;418
Rachel;F;417
Timéo;M;413
Mina;F;413
Léonore;F;412
Hana;F;412
Ismael;M;412
Eliot;M;410
Etienne;M;408
Bianca;F;408
Florian;M;407
Gaël;M;405
Tiago;M;405
Mahaut;F;403
Maïssa;F;402
Mathys;M;402
Erwan;M;401
Lilou;F;401
Bilal;M;400
Colette;F;398
Sofiane;M;397
Lara;F;394
Owen;M;394
Loïc;M;392
Mona;F;391
Ilian;M;388
Sohan;M;386
François;M;384
Lison;F;383
Cléo;F;383
Marcus;M;382
Marguerite;F;381
Axelle;F;381
Rosalie;F;379
Flora;F;375
Timothé;M;375
Elisabeth;F;373
Amandine;F;372
Estelle;F;370
Angèle;F;370
Ilan;M;370
Haroun;M;370
Bastien;M;368
Coline;F;367
Astrid;F;366
Eve;F;366
Billie;F;366
Ilyas;M;364
Talia;F;361
Aymen;M;361
Oumou;F;360
Jonathan;M;359
Tess;F;359
Jana;F;357
Théa;F;356
Maïmouna;F;355
Clarisse;F;354
Adel;M;354
Gaston;M;354
Malik;M;352
Constantin;M;351
Virgile;M;351
Amira;F;351
Dimitri;M;350
Camélia;F;350
Olivier;M;348
Irène;F;348
Oumar;M;347
Ariel;M;347
Aksel;M;347
Solène;F;347
Raphael;M;346
Aboubacar;M;345
Ellie;F;345
Rémi;M;344
Dorian;M;344
Cassandre;F;342
Alexia;F;342
Rafaël;M;341
Anthony;M;340
Jenna;F;337
Ezra;M;334
Emy;F;333
Ysée;F;331
Elia;F;330
Julian;M;329
Anastasia;F;328
Rebecca;F;326
Valentina;F;323
Lino;M;323
Leo;M;323
Ismaïl;M;320
Aliya;F;319
Marine;F;319
Farah;F;315
Adama;M;313
Emmy;F;311
Rania;F;311
Luc;M;310
Eléa;F;309
Aliyah;F;309
Charline;F;309
Elya;F;309
Jayden;M;308
Asma;F;306
Amadou;M;304
Naomie;F;303
Sibylle;F;303
Rita;F;302
Mariama;F;300
Augustine;F;300
Shirel;F;298
Jérémy;M;297
Fatou;F;295
Zayn;M;294
Lilya;F;294
Léane;F;294
Emna;F;292
Leïla;F;292
Émilie;F;291
Colombe;F;290
Sam;M;290
Flore;F;289
Mouhamed;M;289
Lyam;M;287
Kamil;M;286
Ferdinand;M;286
Castille;F;286
Norah;F;285
Morgane;F;284
Elyas;M;284
Sandro;M;283
Maxine;F;282
Paola;F;282
Matéo;M;280
Johan;M;280
Lili;F;279
Matthias;M;278
Lazare;M;278
Adrian;M;277
Diana;F;277
Karim;M;275
Walid;M;275
André;M;274
Soline;F;273
Mahamadou;M;273
Prune;F;272
Amélia;F;271
Noah;F;271
Neil;M;271
Yaël;F;270
Dan;M;269
Tessa;F;269
Eric;M;268
Ivan;M;267
Adélaïde;F;266
Darius;M;266
Philippe;M;263
Audrey;F;262
Fanny;F;262
Elina;F;262
Salim;M;261
Iyad;M;259
Mateo;M;259
Lamine;M;259
Candice;F;258
Nelya;F;258
Gaïa;F;256
Gabriella;F;256
